style,id,name,type,category,package,ini,sound_count,translation,sound,popularity,error
numeric,-1,100,RANGE,EXTENDED,RBR,Extended.ini,4,100,100_1.ogg,-1,
numeric,-1,100,RANGE,EXTENDED,RBR,Extended.ini,4,100,100_2.ogg,-1,
numeric,-1,100,RANGE,EXTENDED,RBR,Extended.ini,4,100,100_3.ogg,-1,
numeric,-1,100,RANGE,EXTENDED,RBR,Extended.ini,4,100,100_4.ogg,-1,
numeric,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,4,1000,1000_1.ogg,-1,
numeric,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,4,1000,1000_2.ogg,-1,
numeric,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,4,1000,1000_3.ogg,-1,
numeric,-1,1000,RANGE,EXTENDED,RBR,Extended.ini,4,1000,1000_4.ogg,-1,
numeric,-1,120,RANGE,EXTENDED,RBR,Extended.ini,4,120,120_1.ogg,-1,
numeric,-1,120,RANGE,EXTENDED,RBR,Extended.ini,4,120,120_2.ogg,-1,
numeric,-1,120,RANGE,EXTENDED,RBR,Extended.ini,4,120,120_3.ogg,-1,
numeric,-1,120,RANGE,EXTENDED,RBR,Extended.ini,4,120,120_4.ogg,-1,
numeric,-1,140,RANGE,EXTENDED,RBR,Extended.ini,4,140,140_1.ogg,-1,
numeric,-1,140,RANGE,EXTENDED,RBR,Extended.ini,4,140,140_2.ogg,-1,
numeric,-1,140,RANGE,EXTENDED,RBR,Extended.ini,4,140,140_3.ogg,-1,
numeric,-1,140,RANGE,EXTENDED,RBR,Extended.ini,4,140,140_4.ogg,-1,
numeric,-1,150,RANGE,EXTENDED,RBR,Extended.ini,4,150,150_1.ogg,-1,
numeric,-1,150,RANGE,EXTENDED,RBR,Extended.ini,4,150,150_2.ogg,-1,
numeric,-1,150,RANGE,EXTENDED,RBR,Extended.ini,4,150,150_3.ogg,-1,
numeric,-1,150,RANGE,EXTENDED,RBR,Extended.ini,4,150,150_4.ogg,-1,
numeric,-1,160,RANGE,EXTENDED,RBR,Extended.ini,4,160,160_1.ogg,-1,
numeric,-1,160,RANGE,EXTENDED,RBR,Extended.ini,4,160,160_2.ogg,-1,
numeric,-1,160,RANGE,EXTENDED,RBR,Extended.ini,4,160,160_3.ogg,-1,
numeric,-1,160,RANGE,EXTENDED,RBR,Extended.ini,4,160,160_4.ogg,-1,
numeric,-1,180,RANGE,EXTENDED,RBR,Extended.ini,4,180,180_1.ogg,-1,
numeric,-1,180,RANGE,EXTENDED,RBR,Extended.ini,4,180,180_2.ogg,-1,
numeric,-1,180,RANGE,EXTENDED,RBR,Extended.ini,4,180,180_3.ogg,-1,
numeric,-1,180,RANGE,EXTENDED,RBR,Extended.ini,4,180,180_4.ogg,-1,
numeric,-1,200,RANGE,EXTENDED,RBR,Extended.ini,4,200,200_1.ogg,-1,
numeric,-1,200,RANGE,EXTENDED,RBR,Extended.ini,4,200,200_2.ogg,-1,
numeric,-1,200,RANGE,EXTENDED,RBR,Extended.ini,4,200,200_3.ogg,-1,
numeric,-1,200,RANGE,EXTENDED,RBR,Extended.ini,4,200,200_4.ogg,-1,
numeric,-1,250,RANGE,EXTENDED,RBR,Extended.ini,4,250,250_1.ogg,-1,
numeric,-1,250,RANGE,EXTENDED,RBR,Extended.ini,4,250,250_2.ogg,-1,
numeric,-1,250,RANGE,EXTENDED,RBR,Extended.ini,4,250,250_3.ogg,-1,
numeric,-1,250,RANGE,EXTENDED,RBR,Extended.ini,4,250,250_4.ogg,-1,
numeric,-1,30,RANGE,EXTENDED,RBR,Extended.ini,4,30,30_1.ogg,-1,
numeric,-1,30,RANGE,EXTENDED,RBR,Extended.ini,4,30,30_2.ogg,-1,
numeric,-1,30,RANGE,EXTENDED,RBR,Extended.ini,4,30,30_3.ogg,-1,
numeric,-1,30,RANGE,EXTENDED,RBR,Extended.ini,4,30,30_4.ogg,-1,
numeric,-1,300,RANGE,EXTENDED,RBR,Extended.ini,4,300,300_1.ogg,-1,
numeric,-1,300,RANGE,EXTENDED,RBR,Extended.ini,4,300,300_2.ogg,-1,
numeric,-1,300,RANGE,EXTENDED,RBR,Extended.ini,4,300,300_3.ogg,-1,
numeric,-1,300,RANGE,EXTENDED,RBR,Extended.ini,4,300,300_4.ogg,-1,
numeric,-1,350,RANGE,EXTENDED,RBR,Extended.ini,4,350,350_1.ogg,-1,
numeric,-1,350,RANGE,EXTENDED,RBR,Extended.ini,4,350,350_2.ogg,-1,
numeric,-1,350,RANGE,EXTENDED,RBR,Extended.ini,4,350,350_3.ogg,-1,
numeric,-1,350,RANGE,EXTENDED,RBR,Extended.ini,4,350,350_4.ogg,-1,
numeric,-1,40,RANGE,EXTENDED,RBR,Extended.ini,4,40,40_1.ogg,-1,
numeric,-1,40,RANGE,EXTENDED,RBR,Extended.ini,4,40,40_2.ogg,-1,
numeric,-1,40,RANGE,EXTENDED,RBR,Extended.ini,4,40,40_3.ogg,-1,
numeric,-1,40,RANGE,EXTENDED,RBR,Extended.ini,4,40,40_4.ogg,-1,
numeric,-1,400,RANGE,EXTENDED,RBR,Extended.ini,4,400,400_1.ogg,-1,
numeric,-1,400,RANGE,EXTENDED,RBR,Extended.ini,4,400,400_2.ogg,-1,
numeric,-1,400,RANGE,EXTENDED,RBR,Extended.ini,4,400,400_3.ogg,-1,
numeric,-1,400,RANGE,EXTENDED,RBR,Extended.ini,4,400,400_4.ogg,-1,
numeric,-1,450,RANGE,EXTENDED,RBR,Extended.ini,4,450,450_1.ogg,-1,
numeric,-1,450,RANGE,EXTENDED,RBR,Extended.ini,4,450,450_2.ogg,-1,
numeric,-1,450,RANGE,EXTENDED,RBR,Extended.ini,4,450,450_3.ogg,-1,
numeric,-1,450,RANGE,EXTENDED,RBR,Extended.ini,4,450,450_4.ogg,-1,
numeric,-1,50,RANGE,EXTENDED,RBR,Extended.ini,4,50,50_1.ogg,-1,
numeric,-1,50,RANGE,EXTENDED,RBR,Extended.ini,4,50,50_2.ogg,-1,
numeric,-1,50,RANGE,EXTENDED,RBR,Extended.ini,4,50,50_3.ogg,-1,
numeric,-1,50,RANGE,EXTENDED,RBR,Extended.ini,4,50,50_4.ogg,-1,
numeric,-1,500,RANGE,EXTENDED,RBR,Extended.ini,4,500,500_1.ogg,-1,
numeric,-1,500,RANGE,EXTENDED,RBR,Extended.ini,4,500,500_2.ogg,-1,
numeric,-1,500,RANGE,EXTENDED,RBR,Extended.ini,4,500,500_3.ogg,-1,
numeric,-1,500,RANGE,EXTENDED,RBR,Extended.ini,4,500,500_4.ogg,-1,
numeric,-1,60,RANGE,EXTENDED,RBR,Extended.ini,4,60,60_1.ogg,-1,
numeric,-1,60,RANGE,EXTENDED,RBR,Extended.ini,4,60,60_2.ogg,-1,
numeric,-1,60,RANGE,EXTENDED,RBR,Extended.ini,4,60,60_3.ogg,-1,
numeric,-1,60,RANGE,EXTENDED,RBR,Extended.ini,4,60,60_4.ogg,-1,
numeric,-1,600,RANGE,EXTENDED,RBR,Extended.ini,4,600,600_1.ogg,-1,
numeric,-1,600,RANGE,EXTENDED,RBR,Extended.ini,4,600,600_2.ogg,-1,
numeric,-1,600,RANGE,EXTENDED,RBR,Extended.ini,4,600,600_3.ogg,-1,
numeric,-1,600,RANGE,EXTENDED,RBR,Extended.ini,4,600,600_4.ogg,-1,
numeric,-1,70,RANGE,EXTENDED,RBR,Extended.ini,4,70,70_1.ogg,-1,
numeric,-1,70,RANGE,EXTENDED,RBR,Extended.ini,4,70,70_2.ogg,-1,
numeric,-1,70,RANGE,EXTENDED,RBR,Extended.ini,4,70,70_3.ogg,-1,
numeric,-1,70,RANGE,EXTENDED,RBR,Extended.ini,4,70,70_4.ogg,-1,
numeric,-1,700,RANGE,EXTENDED,RBR,Extended.ini,4,700,700_1.ogg,-1,
numeric,-1,700,RANGE,EXTENDED,RBR,Extended.ini,4,700,700_2.ogg,-1,
numeric,-1,700,RANGE,EXTENDED,RBR,Extended.ini,4,700,700_3.ogg,-1,
numeric,-1,700,RANGE,EXTENDED,RBR,Extended.ini,4,700,700_4.ogg,-1,
numeric,-1,80,RANGE,EXTENDED,RBR,Extended.ini,4,80,80_1.ogg,-1,
numeric,-1,80,RANGE,EXTENDED,RBR,Extended.ini,4,80,80_2.ogg,-1,
numeric,-1,80,RANGE,EXTENDED,RBR,Extended.ini,4,80,80_3.ogg,-1,
numeric,-1,80,RANGE,EXTENDED,RBR,Extended.ini,4,80,80_4.ogg,-1,
numeric,-1,800,RANGE,EXTENDED,RBR,Extended.ini,4,800,800_1.ogg,-1,
numeric,-1,800,RANGE,EXTENDED,RBR,Extended.ini,4,800,800_2.ogg,-1,
numeric,-1,800,RANGE,EXTENDED,RBR,Extended.ini,4,800,800_3.ogg,-1,
numeric,-1,800,RANGE,EXTENDED,RBR,Extended.ini,4,800,800_4.ogg,-1,
numeric,-1,900,RANGE,EXTENDED,RBR,Extended.ini,4,900,900_1.ogg,-1,
numeric,-1,900,RANGE,EXTENDED,RBR,Extended.ini,4,900,900_2.ogg,-1,
numeric,-1,900,RANGE,EXTENDED,RBR,Extended.ini,4,900,900_3.ogg,-1,
numeric,-1,900,RANGE,EXTENDED,RBR,Extended.ini,4,900,900_4.ogg,-1,
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,4,And,and1.ogg,-1,
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,4,And,and2.ogg,-1,
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,4,And,and3.ogg,-1,
numeric,-1,and,PACENOTE,LINKS,RBR,Extended.ini,4,And,and4.ogg,-1,
numeric,-1,caution_water,PACENOTE,CAUTIONS,RBR,Extended.ini,2,Caution Water,caution_water1.ogg,-1,
numeric,-1,caution_water,PACENOTE,CAUTIONS,RBR,Extended.ini,2,Caution Water,caution_water2.ogg,-1,
numeric,-1,cut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Cut,cut1.ogg,-1,
numeric,-1,cut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Cut,cut2.ogg,-1,
numeric,-1,cut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Cut,cut3.ogg,-1,
numeric,-1,dontcut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Don't,dontcut1.ogg,-1,
numeric,-1,dontcut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Don't,dontcut2.ogg,-1,
numeric,-1,dontcut,PACENOTE,MODIFIER,RBR,Extended.ini,3,Don't,dontcut3.ogg,-1,
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,4,Into,into1.ogg,-1,
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,4,Into,into2.ogg,-1,
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,4,Into,into3.ogg,-1,
numeric,-1,into,PACENOTE,LINKS,RBR,Extended.ini,4,Into,into4.ogg,-1,
numeric,-1,long,PACENOTE,MODIFIER,RBR,Extended.ini,3,Long,long1.ogg,-1,
numeric,-1,long,PACENOTE,MODIFIER,RBR,Extended.ini,3,Long,long2.ogg,-1,
numeric,-1,long,PACENOTE,MODIFIER,RBR,Extended.ini,3,Long,long3.ogg,-1,
numeric,-1,maybe,PACENOTE,MODIFIER,RBR,Extended.ini,3,Maybe,maybe1.ogg,-1,
numeric,-1,maybe,PACENOTE,MODIFIER,RBR,Extended.ini,3,Maybe,maybe2.ogg,-1,
numeric,-1,maybe,PACENOTE,MODIFIER,RBR,Extended.ini,3,Maybe,maybe3.ogg,-1,
numeric,-1,narrows,PACENOTE,MODIFIER,RBR,Extended.ini,3,Narrows,narrows1.ogg,-1,
numeric,-1,narrows,PACENOTE,MODIFIER,RBR,Extended.ini,3,Narrows,narrows2.ogg,-1,
numeric,-1,narrows,PACENOTE,MODIFIER,RBR,Extended.ini,3,Narrows,narrows3.ogg,-1,
numeric,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,4,Onto,onto1.ogg,-1,
numeric,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,4,Onto,onto2.ogg,-1,
numeric,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,4,Onto,onto3.ogg,-1,
numeric,-1,onto,PACENOTE,LINKS,RBR,Extended.ini,4,Onto,onto4.ogg,-1,
numeric,-1,tightens,PACENOTE,MODIFIER,RBR,Extended.ini,3,Tightens,tightens1.ogg,-1,
numeric,-1,tightens,PACENOTE,MODIFIER,RBR,Extended.ini,3,Tightens,tightens2.ogg,-1,
numeric,-1,tightens,PACENOTE,MODIFIER,RBR,Extended.ini,3,Tightens,tightens3.ogg,-1,
numeric,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,3,Double Tightens,doubletightens1.ogg,-1,
numeric,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,3,Double Tightens,doubletightens2.ogg,-1,
numeric,-1,tightensbad,PACENOTE,MODIFIER,RBR,Extended.ini,3,Double Tightens,doubletightens3.ogg,-1,
numeric,-1,wideout,PACENOTE,MODIFIER,RBR,Extended.ini,3,Wideout,wideout1.ogg,-1,
numeric,-1,wideout,PACENOTE,MODIFIER,RBR,Extended.ini,3,Wideout,wideout2.ogg,-1,
numeric,-1,wideout,PACENOTE,MODIFIER,RBR,Extended.ini,3,Wideout,wideout3.ogg,-1,
numeric,0,hairpinleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,Hairpin Left,hp_left1.ogg,0.63,
numeric,0,hairpinleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,Hairpin Left,hp_left2.ogg,0.63,
numeric,0,hairpinleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,Hairpin Left,hp_left3.ogg,0.63,
numeric,0,hairpinleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,Hairpin Left,hp_left4.ogg,0.63,
numeric,1,90_left,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Left,two_left1.ogg,0.74,
numeric,1,90_left,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Left,two_left2.ogg,0.74,
numeric,1,90_left,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Left,two_left3.ogg,0.74,
numeric,1,90_left,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Left,two_left4.ogg,0.74,
numeric,2,kleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Left,three_left1.ogg,0.88,
numeric,2,kleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Left,three_left2.ogg,0.88,
numeric,2,kleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Left,three_left3.ogg,0.88,
numeric,2,kleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Left,three_left4.ogg,0.88,
numeric,3,mediumleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Left,four_left1.ogg,0.94,
numeric,3,mediumleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Left,four_left2.ogg,0.94,
numeric,3,mediumleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Left,four_left3.ogg,0.94,
numeric,3,mediumleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Left,four_left4.ogg,0.94,
numeric,4,fastleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Left,five_left1.ogg,0.93,
numeric,4,fastleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Left,five_left2.ogg,0.93,
numeric,4,fastleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Left,five_left3.ogg,0.93,
numeric,4,fastleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Left,five_left4.ogg,0.93,
numeric,5,easyleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Left,six_left1.ogg,0.87,
numeric,5,easyleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Left,six_left2.ogg,0.87,
numeric,5,easyleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Left,six_left3.ogg,0.87,
numeric,5,easyleft,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Left,six_left4.ogg,0.87,
numeric,6,easyright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Right,six_right1.ogg,0.88,
numeric,6,easyright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Right,six_right2.ogg,0.88,
numeric,6,easyright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Right,six_right3.ogg,0.88,
numeric,6,easyright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,6 Right,six_right4.ogg,0.88,
numeric,7,fastright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Right,five_right1.ogg,0.94,
numeric,7,fastright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Right,five_right2.ogg,0.94,
numeric,7,fastright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Right,five_right3.ogg,0.94,
numeric,7,fastright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,5 Right,five_right4.ogg,0.94,
numeric,8,mediumright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Right,four_right1.ogg,0.94,
numeric,8,mediumright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Right,four_right2.ogg,0.94,
numeric,8,mediumright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Right,four_right3.ogg,0.94,
numeric,8,mediumright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,4 Right,four_right4.ogg,0.94,
numeric,9,kright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Right,three_right1.ogg,0.86,
numeric,9,kright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Right,three_right2.ogg,0.86,
numeric,9,kright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Right,three_right3.ogg,0.86,
numeric,9,kright,PACENOTE,CORNERS,RBR,Descriptive.ini,4,3 Right,three_right4.ogg,0.86,
numeric,10,90_right,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Right,two_right1.ogg,0.73,
numeric,10,90_right,PACENOTE,CORNERS,RBR,Descriptive.ini,4,2 Right,two_right2.ogg,0.73,
