name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,102,112,212,217,230,232,235,236,240,249,250,251,260,261,263,264,268,274,298,299,300,303,340,345,351,361,381,384,392,393,411,432,540,541,545,549,551,1010,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2100,2101,2102,2103,2104,2105,2107,2108,2109,4075,4077,4082,4083,4084,4088,4089,4090,4091,4092,4093,flag_0,flag_1,flag_2,flag_4,flag_8,flag_12,flag_32,flag_33,flag_36,flag_64,flag_65,flag_128,flag_160,flag_256,flag_257,flag_258,flag_260,flag_288,flag_296,flag_320,flag_384,flag_1024,flag_1028,flag_1032,flag_1056,flag_1280,flag_6400,flag_8192,flag_8448,flag_16384
Ahvenus II_Luppis_20230228.ini,0,3,3,7,6,3,7,3,5,4,2,0,0,21,7,0,19,0,0,0,1,1,1,2,1,0,0,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,19,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahvenus I_Luppis_20230228.ini,0,2,4,8,4,4,4,9,6,1,3,0,0,21,10,2,20,0,0,0,0,1,1,2,1,0,0,0,0,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,10,25,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aittajarvi_Luppis_20221228.ini,1,2,10,21,10,11,12,7,13,10,4,2,0,104,0,0,30,0,0,8,8,1,1,2,1,1,1,1,0,2,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,10,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akagi 20221121_LUPPIS.ini,9,3,4,7,1,0,1,0,0,7,3,12,1,10,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,14,25,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpes Rally 20220913_LUPPIS.ini,6,8,11,8,14,4,3,11,17,13,4,8,4,38,0,0,8,0,0,2,1,1,1,2,1,0,2,0,1,0,4,2,7,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,12,1,2,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antaramanana 20220703_LUPPIS.ini,7,3,9,15,11,7,5,17,7,11,5,7,0,65,0,0,17,0,2,6,2,1,1,2,1,1,1,4,3,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,17,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antaramanana II 20220629_LUPPIS.ini,4,13,8,11,11,4,7,10,11,12,8,5,0,60,2,0,16,3,0,6,0,1,1,2,1,2,5,4,0,1,1,2,9,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,2,0,0,4,0,0,0,0,1,4,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arteara Artedara 20220522_LUPPIS.ini,8,10,16,14,8,6,3,6,22,16,4,8,2,5,2,0,7,0,3,3,0,1,1,2,1,0,0,0,2,1,0,0,1,0,0,0,1,4,0,0,0,0,2,5,0,0,0,0,18,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autiovaara Gravel LUPPIS 20221221.ini,0,0,5,26,4,0,3,10,11,12,1,0,0,24,0,0,13,0,0,1,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
