name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,49,50,51,55,57,59,60,62,66,76,77,102,112,200,211,213,215,217,218,220,230,232,235,242,250,251,260,262,263,264,268,274,277,292,298,300,303,304,340,345,351,361,370,381,393,540,549,550,551,902,903,905,906,907,909,911,1001,1007,1010,1019,1023,1040,1041,1042,1052,1057,1086,1087,2003,2004,2005,2006,2007,2011,2012,2015,2018,2021,2022,2023,2024,2103,2104,2105,2107,2108,3977,3978,4075,4077,4082,4083,4084,4085,4088,4089,4090,4091,4092,4093,flag_1,flag_2,flag_4,flag_8,flag_16,flag_32,flag_64,flag_128,flag_256,flag_1024,flag_2048,flag_4096,flag_8192,flag_16384
Ahvenus II_default.ini,1,3,3,6,6,1,4,3,5,4,2,0,0,24,0,0,18,0,0,1,0,1,1,2,1,3,2,0,0,1,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,17,0,1,0,0,1,0,0,5,0,1,0,0,2,0,0,56,5,0,0,0,0
Ahvenus I_default.ini,0,2,4,8,3,2,0,9,4,2,4,0,0,24,1,0,21,0,0,0,0,1,1,2,1,4,1,0,0,3,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,1,0,0,8,2,1,0,0,3,0,0,54,6,0,0,0,0
Aittajarvi_default.ini,1,4,12,18,11,7,6,8,14,12,8,0,0,127,2,0,23,0,0,15,7,1,1,2,1,6,10,1,0,10,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,4,16,0,0,0,0
Akagi 2_default.ini,10,0,1,5,2,2,4,6,4,1,0,9,0,7,0,0,0,0,1,0,0,0,1,2,1,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,0,5,0,0,4,0
Akagi_default.ini,9,0,2,2,5,4,3,3,4,3,0,9,0,10,0,0,0,0,0,0,0,1,1,2,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0
Alpes Rally_default.ini,7,7,7,22,9,3,3,20,16,8,7,2,3,41,1,0,9,0,0,2,1,1,1,2,1,7,8,0,1,1,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,27,7,0,0,12,0,0,0,0
Antaramanana II_default.ini,1,4,9,8,13,9,11,15,10,5,4,0,0,96,0,5,15,3,1,7,2,1,1,2,1,10,14,4,12,2,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,4,0,0,0,0,0,0,0,4,4,5,0,0,12,0,0,50,14,0,0,8,0
Antaramanana_default.ini,1,3,9,7,10,11,10,9,8,11,4,1,0,82,1,0,15,2,2,3,2,1,1,2,1,9,14,4,10,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,6,0,0,0,0,0,0,0,6,5,2,0,0,13,1,0,50,18,0,0,6,0
Arteara Artedara_default.ini,1,3,13,13,8,26,18,13,22,6,1,1,0,0,0,0,0,0,5,0,0,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
